,YEAR-MONTH,RAINFALL
793,1970-10-01,4.2
794,1971-01-01,5.2
795,1971-02-01,42.0
796,1971-03-01,3.3
797,1971-04-01,11.8
798,1971-05-01,42.6
799,1971-06-01,99.0
800,1971-07-01,251.4
801,1971-08-01,255.9
802,1971-09-01,27.2
803,1971-10-01,1.6
804,1971-11-01,8.1
805,1972-01-01,9.1
806,1972-02-01,31.9
807,1972-03-01,10.8
808,1972-04-01,6.5
809,1972-05-01,0.1
810,1972-06-01,23.8
811,1972-07-01,192.9
812,1972-08-01,132.3
813,1972-09-01,26.1
814,1972-10-01,7.9
815,1972-11-01,19.6
816,1972-12-01,10.1
817,1973-01-01,26.0
818,1973-02-01,32.4
819,1973-03-01,8.2
820,1973-04-01,1.8
821,1973-05-01,41.2
822,1973-06-01,111.4
823,1973-07-01,170.5
824,1973-08-01,256.3
825,1973-09-01,43.3
826,1973-10-01,19.6
827,1973-12-01,32.4
828,1974-01-01,3.2
829,1974-02-01,2.0
830,1974-03-01,3.1
831,1974-04-01,1.3
832,1974-05-01,6.9
833,1974-06-01,71.0
834,1974-07-01,136.7
835,1974-08-01,101.3
836,1974-09-01,14.4
837,1974-10-01,0.6
838,1974-12-01,15.8
839,1975-01-01,21.1
840,1975-02-01,20.4
841,1975-03-01,20.0
842,1975-04-01,1.3
843,1975-05-01,3.3
844,1975-06-01,60.0
845,1975-07-01,230.6
846,1975-08-01,195.1
847,1975-09-01,148.8
848,1975-10-01,5.2
849,1976-01-01,29.2
850,1976-02-01,53.7
851,1976-03-01,22.7
852,1976-04-01,9.4
853,1976-05-01,12.5
854,1976-06-01,63.1
855,1976-07-01,195.3
856,1976-08-01,318.7
857,1976-09-01,85.1
858,1976-10-01,4.4
859,1976-12-01,0.5
860,1977-01-01,37.7
861,1977-02-01,0.5
862,1977-03-01,1.0
863,1977-04-01,37.1
864,1977-05-01,41.9
865,1977-06-01,62.3
866,1977-07-01,208.1
867,1977-08-01,175.9
868,1977-09-01,120.1
