,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
128,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,XS,,,,,ZZ09775-XS,,,Shop location,0,0,0,0,0
129,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,S,,,,,ZZ09775-S,,,Shop location,0,0,0,2,2
130,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,M,,,,,ZZ09775-M,,,Shop location,0,0,1,1,2
131,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,L,,,,,ZZ09775-L,,,Shop location,0,0,0,0,0
132,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,XL,,,,,ZZ09775-XL,,,Shop location,0,0,0,1,1
133,vneck-colour-blocked-midi-chiffon-dress,Vneck Colour Blocked Midi Chiffon Dress,Style Size,XXL,,,,,ZZ09775-XXL,,,Shop location,0,0,0,1,1
134,vneck-ditsy-floral-puffed-sleeve-dress,Vneck Ditsy Floral Puffed Sleeve Dress,Style Size,XS,,,,,ZZ09769-XS,,,Shop location,0,0,0,6,6
135,vneck-ditsy-floral-puffed-sleeve-dress,Vneck Ditsy Floral Puffed Sleeve Dress,Style Size,S,,,,,ZZ09769-S,,,Shop location,0,0,0,6,6
136,vneck-ditsy-floral-puffed-sleeve-dress,Vneck Ditsy Floral Puffed Sleeve Dress,Style Size,M,,,,,ZZ09769-M,,,Shop location,0,0,0,14,14
137,vneck-ditsy-floral-puffed-sleeve-dress,Vneck Ditsy Floral Puffed Sleeve Dress,Style Size,L,,,,,ZZ09769-L,,,Shop location,0,0,0,10,10
138,vneck-ditsy-floral-puffed-sleeve-dress,Vneck Ditsy Floral Puffed Sleeve Dress,Style Size,XL,,,,,ZZ09769-XL,,,Shop location,0,0,0,6,6
139,vneck-printed-spaghetti-waistless-cream-dress,Vneck Printed Spaghetti Waistless Cream Dress,Style Size,XS,,,,,ZZ09796-XS,,,Shop location,0,0,0,2,2
140,vneck-printed-spaghetti-waistless-cream-dress,Vneck Printed Spaghetti Waistless Cream Dress,Style Size,S,,,,,ZZ09796-S,,,Shop location,0,0,0,8,8
141,vneck-printed-spaghetti-waistless-cream-dress,Vneck Printed Spaghetti Waistless Cream Dress,Style Size,M,,,,,ZZ09796-M,,,Shop location,0,0,0,11,11
142,vneck-printed-spaghetti-waistless-cream-dress,Vneck Printed Spaghetti Waistless Cream Dress,Style Size,L,,,,,ZZ09796-L,,,Shop location,0,0,0,8,8
143,vneck-printed-spaghetti-waistless-cream-dress,Vneck Printed Spaghetti Waistless Cream Dress,Style Size,XL,,,,,ZZ09796-XL,,,Shop location,0,0,0,3,3
144,vneck-printed-spaghetti-waistless-white-dress,Vneck Printed Spaghetti Waistless White Dress,Style Size,XS,,,,,ZZ09706-XS,,,Shop location,0,0,0,1,1
145,vneck-printed-spaghetti-waistless-white-dress,Vneck Printed Spaghetti Waistless White Dress,Style Size,S,,,,,ZZ09706-S,,,Shop location,0,0,0,7,7
146,vneck-printed-spaghetti-waistless-white-dress,Vneck Printed Spaghetti Waistless White Dress,Style Size,M,,,,,ZZ09706-M,,,Shop location,0,0,0,10,10
147,vneck-printed-spaghetti-waistless-white-dress,Vneck Printed Spaghetti Waistless White Dress,Style Size,L,,,,,ZZ09706-L,,,Shop location,0,0,0,7,7
148,vneck-printed-spaghetti-waistless-white-dress,Vneck Printed Spaghetti Waistless White Dress,Style Size,XL,,,,,ZZ09706-XL,,,Shop location,0,0,0,3,3
149,vneck-sleeve-flared-dress,Vneck Sleeve Flared Dress,Style Size,XS,,,,,ZZ09691-XS,,,Shop location,0,0,0,2,2
150,chiffon-printed-draped-maxi-dress,Chiffon Printed Draped Maxi Dress,Style Size,XL,,,,,ZZ09763-XL,,,Shop location,0,0,0,2,2
151,chiffon-printed-draped-maxi-dress,Chiffon Printed Draped Maxi Dress,Style Size,XXL,,,,,ZZ09763-XXL,,,Shop location,0,0,0,0,0
